順位,選手名,チーム,打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,出塁率,長打率
305,加藤　匠馬,中日,.000,10,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,.000,.000
305,西田　明央,ヤクルト,.125,8,8,8,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,.125,.125
305,アンバギー,DeNA,.125,4,8,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,.125,.125
308,味谷　大誠,中日,.286,6,7,7,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,.286,.286
308,山瀬　慎之助,巨人,.143,5,7,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,.143,.143
308,山本　大斗,ロッテ,.143,2,7,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,1,.143,.143
311,梅林　優貴,日本ハム,.500,7,6,6,0,3,0,0,0,3,0,0,0,0,0,0,0,0,1,1,.500,.500
311,菊田　拡和,巨人,.000,6,6,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.167,.000
311,松本　直樹,ヤクルト,.000,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.000,.000
311,和田　恋,楽天,.200,2,6,5,0,1,0,0,0,1,2,0,0,0,1,0,0,0,3,1,.167,.200
315,平野　大和,オリックス,.200,4,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,.200,.200
315,奥村　展征,ヤクルト,.500,3,5,4,2,2,1,0,0,3,1,0,0,0,1,0,0,0,2,0,.400,.750
315,杉澤　龍,オリックス,.200,2,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,.200,.200
315,有薗　直輝,日本ハム,.000,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,.000,.000
319,西巻　賢二,DeNA,.000,7,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,.000,.000
319,榮枝　裕貴,阪神,.333,2,4,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,.333,.333
321,植田　海,阪神,.000,28,3,1,9,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,.500,.000
321,樋口　正修,中日,.000,7,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.000,.000
321,植田　将太,ロッテ,.000,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000
321,堀内　謙伍,楽天,.500,3,3,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.667,.500
325,海野　隆司,ソフトバンク,.000,8,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,.000,.000
